"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"VN","Vietnam","1989","TOTAL","65868481","100","32240059","100","33628422","100","0.9587145956476935"
"VN","Vietnam","1989","0","1938987","2.9437250875726133","1001718","3.1070600708267935","937269","2.7871334551469586","1.0687625430906176"
"VN","Vietnam","1989","1","1917943","2.911776574899306","984344","3.0531705912821065","933599","2.7762200676558657","1.0543541713305178"
"VN","Vietnam","1989","2","1772998","2.691724437975122","913537","2.8335463033737005","859461","2.555757745635522","1.0629185035737514"
"VN","Vietnam","1989","3","1832548","2.7821318666814254","938593","2.911263282737789","893955","2.658331693351535","1.0499331621837789"
"VN","Vietnam","1989","4","1908627","2.897633239788845","978330","3.034516779265199","930297","2.7664009925889474","1.0516318982002522"
"VN","Vietnam","1989","5","1932237","2.9334773941424275","988721","3.0667468691667095","943516","2.8057100032823428","1.0479112171918654"
"VN","Vietnam","1989","6","1862036","2.8268998642916934","950918","2.949492120966652","911118","2.7093688785040224","1.0436825965462213"
"VN","Vietnam","1989","7","1654678","2.5120937584700034","842907","2.6144710219047678","811771","2.413943181752626","1.0383556446337698"
"VN","Vietnam","1989","8","1595228","2.421838147444147","812167","2.5191238018516033","783061","2.3285689706165815","1.037169518083521"
"VN","Vietnam","1989","9","1607954","2.441158465457857","821183","2.5470890112204816","786771","2.339601305110302","1.0437382669162947"
"VN","Vietnam","1989","10","1562264","2.3717929672615345","798509","2.4767603558045597","763755","2.2711591997983134","1.0455041210859504"
"VN","Vietnam","1989","11","1508983","2.2909029889424657","770645","2.390333714960013","738338","2.195577300653596","1.0437563825781688"
"VN","Vietnam","1989","12","1515336","2.3005479661812758","774768","2.4031221530953153","740568","2.2022085960500912","1.0461807693554137"
"VN","Vietnam","1989","13","1543020","2.3425771728362768","789173","2.447802592420814","753847","2.241696027247428","1.0468609678091179"
"VN","Vietnam","1989","14","1441864","2.189004480003114","744190","2.3082774135121777","697674","2.074655777782258","1.0666729733371174"
"VN","Vietnam","1989","15","1432170","2.174287274060563","736120","2.28324644194975","696050","2.0698265294755727","1.0575677034695783"
"VN","Vietnam","1989","16","1449790","2.2010375493553584","735755","2.2821143100265417","714035","2.1233080755320604","1.0304186769556114"
"VN","Vietnam","1989","17","1381518","2.097388582560451","688579","2.1357870343847694","692939","2.060575426346202","0.993707959863711"
"VN","Vietnam","1989","18","1383587","2.1005296903689032","693426","2.150821125978709","690161","2.052314557013707","1.0047307802092555"
"VN","Vietnam","1989","19","1338507","2.032090280023309","665560","2.064388281671569","672947","2.001125714432869","0.9890229096793656"
"VN","Vietnam","1989","20","1325559","2.0124329267590064","657194","2.038439197645389","668365","1.9875003352818639","0.9832860787144748"
"VN","Vietnam","1989","21","1220489","1.8529180899131408","621827","1.9287402668835065","598662","1.7802262621778684","1.0386946223411542"
"VN","Vietnam","1989","22","1236860","1.8777721623791506","623138","1.932806636613165","613722","1.825009808667204","1.0153424514682543"
"VN","Vietnam","1989","23","1253635","1.9032395782741673","627383","1.9459734859666356","626252","1.8622699572403367","1.001805982256344"
"VN","Vietnam","1989","24","1302016","1.9766904902513236","644704","1.99969857375261","657312","1.9546323047807594","0.9808188501046687"
"VN","Vietnam","1989","25","1258024","1.9099028562689948","619208","1.9206168326180793","638816","1.899631210765703","0.9693057155738115"
"VN","Vietnam","1989","26","1231755","1.8700218697923214","609574","1.8907347533079888","622181","1.850164126047901","0.9797374076032537"
"VN","Vietnam","1989","27","1028695","1.5617408878762515","507175","1.5731205702818347","521520","1.5508310202601836","0.9724938640895843"
"VN","Vietnam","1989","28","1218706","1.850211180670767","593728","1.841584719184292","624978","1.8584814952066442","0.9499982399380458"
"VN","Vietnam","1989","29","1150716","1.7469903397347208","555985","1.7245160748620216","594731","1.7685367454946297","0.934851218450022"
"VN","Vietnam","1989","30","1061546","1.611614514079959","497831","1.5441379930477175","563715","1.676305239657097","0.8831253381584666"
"VN","Vietnam","1989","31","1023929","1.5545052572261382","494223","1.5329469465300916","529706","1.5751735243479459","0.9330137850052671"
